"Indicator","Area","Units","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","Source"
"Foreign imports- Crude oil","City and County of Honolulu","1000 Barrels","4,138","4,009","4,573","4,689","4,238","3,994","3,875","4,276","4,639","3,437","3,956","3,209","3,475","3,803","3,690","4,334","4,476","3,112","3,991","4,271","4,266","3,600","3,904","3,215","3,234","3,701","3,321","1,936","2,379","4,783","3,574","3,939","4,514","2,693","3,711","3,662","2,558","4,335","4,046","3,202","3,373","3,381","3,871","3,288","2,424","5,035","4,122","1,346","5,021","3,375","2,607","3,314","3,792","3,931","2,900","3,690","1,694","4,531","3,634","3,842","3,924","2,910","3,899","1,883","3,821","5,146","3,342","3,185","2,976","5,286","2,807","3,137","4,519","2,322","2,545","4,019","2,860","3,070","3,620","2,504","3,675","4,194","3,535","2,705","3,997","4,131","2,115","1,669","700","1,543","1,396","2,123","2,127","4,299","3,533","3,675","992","2,291","3,108","2,875","1,390","1,742","3,648","3,236","2,226","2,280","1,773","2,557","2,945","2,644","2,985","1,550","3,304","1,288","1,287","1,304","3,026","3,719","2,367","2,404","1,955","2,295","2,009","2,684","4,245","3,332","2,016","2,374","2,966","1,946","1,454","1,733","0","1,673","1,730","1,743","2,030","1,755","1,952","2,668","3,071","3,360","2,312","3,654","2,008","3,373","3,741","3,095","2,097","4,045","3,040","3,769","2,991","2,396","1,534","2,776","2,044","2,302","2,054","2,059","2,094","2,677","1,000","1,717","2,441","3,482","2,774","1,727","US,  Dep. of Energy"
"Foreign imports- Distillate","City and County of Honolulu","1000 Barrels","0","0","0","0","0","0","0","0","80","0","0","63","58","0","35","0","0","50","38","0","0","0","0","0","0","0","35","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","311","215","0","270","0","0","0","0","80","83","0","86","11","0","105","47","39","146","60","75","75","64","75","99","58","94","58","0","93","40","58","47","124","47","65","45","154","21","47","102","47","46","70","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","150","0","88","0","0","0","0","0","0","0","0","0","0","0","0","0","US,  Dep. of Energy"
"Foreign imports- Jet fuel, Kerosene","City and County of Honolulu","1000 Barrels","241","0","0","607","0","312","0","0","319","304","0","539","675","308","302","310","252","306","565","151","304","619","200","333","590","327","464","466","505","314","0","592","213","0","0","310","0","0","413","0","0","0","453","76","196","318","152","0","278","626","0","0","627","626","506","0","319","297","594","0","315","311","0","298","300","325","0","0","0","0","301","0","0","310","0","0","625","0","315","645","328","315","0","320","314","315","300","1,095","1,004","1,347","1,030","514","489","459","0","314","315","286","0","563","327","0","350","174","639","468","315","315","315","315","672","315","390","370","480","664","0","415","453","446","738","415","515","432","455","655","1,047","1,065","638","790","605","169","847","630","418","1,028","300","376","508","1,166","281","134","99","624","953","130","938","311","680","834","770","588","510","714","1,044","533","536","465","769","726","829","743","2,434","710","1,255","455","0","1,490","US,  Dep. of Energy"
"Foreign imports- Residual fuel oil","City and County of Honolulu","1000 Barrels","0","0","0","0","0","0","367","0","217","0","0","0","64","0","0","0","98","203","0","0","0","0","0","0","0","0","0","0","95","101","0","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","332","306","516","0","334","0","221","0","0","241","0","0","42","0","0","45","0","115","82","55","42","65","0","0","69","119","45","0","155","68","97","80","168","114","107","29","85","0","101","83","185","96","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","US,  Dep. of Energy"
"Foreign imports- Propane","City and County of Honolulu","1000 Barrels","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","8","0","9","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","11","0","0","34","10","12","10","9","0","11","0","10","0","0","0","0","0","0","0","0","0","10","20","13","18","3","18","20","17","19","18","9","19","0","20","0","10","0","28","19","0","0","18","17","10","5","0","14","0","0","0","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","29","22","20","42","0","0","39","0","0","0","18","15","US,  Dep. of Energy"
"Foreign imports- Fuel ethanol","City and County of Honolulu","1000 Barrels","0","114","75","0","90","141","174","42","203","78","78","81","0","78","81","98","0","94","92","96","0","96","83","0","0","97","95","0","0","0","244","0","0","60","0","0","49","0","47","0","79","63","86","91","82","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128","0","133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","24","0","0","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","US,  Dep. of Energy"
"Other refined petroleum products","City and County of Honolulu","1000 Barrels","0","0","189","0","0","142","0","0","0","0","0","0","0","0","0","49","98","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","218","0","0","0","0","0","0","0","0","0","0","219","0","0","0","0","118","0","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","207","0","0","0","0","32","0","0","0","0","0","207","0","32","0","59","677","308","835","466","66","0","0","118","115","273","8","116","0","65","150","38","97","190","123","60","62","79","0","0","32","0","0","67","20","0","0","0","0","0","73","0","85","0","43","0","40","0","0","0","0","70","0","0","0","65","74","0","221","220","220","316","0","0","0","0","0","0","0","91","0","0","0","0","302","354","352","371","304","293","617","0","508","639","292","0","US,  Dep. of Energy"
"Electricity Total Meters- All Sectors","City and County of Honolulu","Meters","290,920","290,419","291,190","290,841","291,438","291,163","291,245","291,732","291,924","291,584","292,265","291,857","292,690","292,217","292,556","292,385","292,682","292,387","292,747","293,099","292,876","293,055","292,844","293,549","294,104","293,343","293,763","293,735","293,511","293,913","293,363","292,714","293,662","293,107","292,641","292,705","294,086","293,511","293,911","293,717","293,708","292,816","293,904","293,647","294,096","293,974","293,768","294,337","294,473","294,216","294,938","294,794","294,040","294,440","294,274","294,841","295,374","294,965","295,032","295,504","295,556","295,140","295,621","295,589","295,644","295,742","295,258","295,783","296,269","295,906","296,577","295,949","296,924","296,887","296,803","296,731","297,245","296,918","296,894","296,914","297,006","297,093","296,972","297,139","297,335","297,461","297,885","298,392","298,687","298,677","299,028","298,933","298,869","299,048","299,002","299,140","299,313","299,308","299,590","300,091","300,393","300,329","300,330","300,258","300,619","301,071","301,111","301,559","301,685","301,786","301,937","301,982","301,969","302,178","302,207","302,120","302,275","302,329","302,395","302,610","302,686","302,854","303,006","303,240","303,328","303,315","303,321","303,639","303,688","303,702","303,879","303,928","304,081","303,994","304,303","304,248","304,359","304,339","304,384","304,496","304,466","304,531","304,487","304,616","304,796","304,703","304,837","304,960","304,982","304,964","304,964","305,029","304,966","305,196","305,075","305,111","305,287","305,249","305,394","305,470","305,547","305,562","305,757","305,752","305,791","305,892","305,811","306,006","Electric utility companies"
"Electricity Total KWH Sold- All Sectors","City and County of Honolulu","KWH","625,207,474","552,459,799","632,595,951","596,385,377","625,523,062","651,970,543","672,005,573","707,725,629","664,130,818","672,113,862","652,599,233","647,887,594","629,812,414","549,849,184","636,150,705","594,324,438","654,177,624","647,725,525","672,415,167","688,885,978","663,557,484","675,470,878","627,333,074","635,652,519","611,032,085","574,787,787","630,758,793","603,455,020","644,258,941","634,045,975","666,307,427","669,146,075","646,676,890","653,474,766","612,166,394","609,851,652","586,049,039","524,716,597","576,564,594","568,858,511","620,306,346","638,496,440","647,149,143","673,205,710","647,767,186","667,785,679","617,737,892","608,899,986","602,330,181","526,888,862","586,300,826","577,908,920","621,601,567","605,717,510","632,147,093","649,864,194","622,295,169","638,775,636","602,438,216","610,960,677","604,384,951","561,243,984","619,383,100","592,510,371","622,238,122","577,834,942","620,131,781","629,885,378","615,920,569","628,473,364","585,117,243","585,186,753","584,466,181","542,753,962","568,327,389","553,472,893","587,851,270","571,895,959","595,362,564","620,818,755","579,907,458","613,302,928","569,356,643","588,479,508","554,504,191","493,395,765","543,032,055","553,191,330","585,021,896","564,198,418","607,203,316","612,646,362","586,790,810","607,639,216","564,947,817","585,964,584","540,159,587","517,811,821","536,794,140","529,054,447","571,135,363","552,099,757","595,865,725","614,071,829","604,712,476","617,960,783","555,598,191","546,400,437","517,356,154","489,556,255","520,246,260","530,844,440","538,707,233","545,101,995","609,828,876","642,744,342","621,491,784","589,345,011","585,454,671","563,406,290","534,358,112","503,501,240","519,687,292","526,536,670","554,472,569","543,464,705","590,764,392","621,970,711","587,666,666","586,055,862","537,129,974","554,587,130","516,735,490","470,188,328","537,828,176","522,992,946","553,098,417","547,949,685","586,413,931","605,680,384","583,536,476","587,472,291","529,305,111","507,495,654","517,003,269","470,713,436","509,750,484","525,051,003","525,105,406","546,911,981","585,835,897","602,091,249","572,174,359","601,777,137","545,609,008","523,646,897","519,873,109","426,951,359","476,900,291","494,861,213","536,579,702","561,226,555","598,298,409","621,336,547","603,663,882","603,376,536","561,532,355","558,504,279","Electric utility companies"
"Electricity Total KWH Sold- Residential","City and County of Honolulu","KWH","178,941,964","150,504,445","175,927,557","168,873,157","168,187,218","179,240,101","186,875,292","195,087,382","182,645,922","186,147,572","181,089,337","180,911,855","181,842,040","149,277,839","174,759,923","166,598,607","176,973,144","180,851,983","187,927,623","195,805,174","184,516,020","184,137,519","171,945,074","179,900,211","177,084,936","156,730,140","171,594,764","162,569,637","173,407,464","171,624,468","183,153,015","179,744,729","172,164,965","170,619,427","161,600,319","168,434,298","168,364,429","141,291,476","158,546,410","154,367,542","166,880,553","175,861,184","176,299,614","185,746,249","176,703,673","183,388,595","171,301,725","166,527,012","172,008,955","142,960,491","160,195,318","156,386,316","165,183,541","162,554,291","173,300,847","173,855,710","166,926,178","171,404,332","162,546,358","168,420,804","174,468,603","143,857,554","164,018,173","154,080,204","165,895,027","158,078,023","165,359,426","167,739,065","160,798,533","163,311,484","151,007,373","156,340,004","160,646,496","136,482,861","149,692,320","142,109,152","147,629,689","144,092,053","151,256,560","155,102,569","143,311,139","154,388,635","142,051,491","150,072,570","146,884,499","121,390,363","132,146,803","135,621,230","139,454,366","134,903,730","143,472,714","146,529,068","141,308,369","144,786,344","136,298,229","144,513,221","135,673,985","125,524,128","126,652,809","119,544,319","132,298,903","128,247,348","138,530,613","146,965,168","141,953,963","151,339,547","133,742,235","130,675,788","131,085,965","113,960,906","118,900,512","117,983,586","118,639,320","125,762,683","150,418,946","161,199,859","164,203,236","141,694,720","142,670,407","140,397,327","134,120,263","114,170,178","116,010,274","118,448,168","124,110,104","127,188,637","139,379,747","154,164,762","142,820,374","141,117,327","128,075,801","140,795,380","129,885,350","110,586,221","126,690,497","116,526,590","130,261,818","128,324,765","143,639,452","148,950,403","142,267,866","143,790,961","130,704,046","127,145,376","132,332,247","113,361,294","124,660,930","126,225,716","122,013,601","129,095,666","143,120,804","153,740,636","149,944,113","148,897,597","136,256,256","128,218,108","135,194,777","98,009,774","108,069,514","109,066,120","125,584,766","140,957,043","157,036,516","161,009,967","157,846,061","155,358,404","142,570,392","144,271,280","Electric utility companies"
"Electricity Total KWH Sold- Commercial","City and County of Honolulu","KWH","443,056,086","398,790,135","453,569,155","424,590,442","454,196,782","469,607,046","482,239,893","509,307,517","478,429,470","482,869,883","468,321,655","463,727,572","445,321,289","396,978,747","458,093,444","424,764,538","474,033,441","463,735,732","481,496,233","489,896,903","475,968,113","488,197,027","452,201,429","452,668,250","430,516,092","415,046,599","455,964,900","437,707,998","467,764,160","459,218,977","480,211,293","486,204,462","471,551,427","479,556,021","447,214,087","438,396,236","414,502,501","380,357,969","415,522,722","411,476,776","450,259,743","459,867,190","467,788,786","484,130,690","468,265,507","481,232,641","443,503,470","439,126,297","426,997,736","381,181,443","422,831,630","418,466,263","453,462,945","440,027,550","455,883,590","473,023,231","452,268,211","464,238,948","437,045,283","439,303,965","426,592,906","414,810,089","452,031,330","435,597,782","453,217,238","417,093,042","451,710,252","459,268,582","452,034,966","462,064,669","431,283,101","425,691,181","420,629,463","403,568,754","415,499,897","408,274,961","437,018,682","425,370,512","441,082,222","462,742,338","433,703,412","455,716,566","424,460,486","435,400,886","404,353,619","369,431,432","407,660,700","415,069,639","441,931,786","426,741,786","460,827,235","463,234,797","442,445,301","459,639,577","425,792,799","438,313,707","401,481,564","389,446,565","406,909,835","406,475,317","435,973,419","421,148,928","454,076,913","464,374,730","459,656,193","463,604,022","418,871,095","412,603,261","383,313,486","372,803,040","398,212,874","410,001,998","417,087,760","416,435,298","456,497,263","478,616,323","454,307,567","444,752,916","439,892,602","419,622,303","397,423,378","386,527,178","400,455,399","405,314,600","427,524,714","413,773,227","448,513,681","464,925,451","442,204,634","442,026,105","406,151,954","411,001,951","384,059,041","357,049,078","408,114,512","403,791,693","419,936,211","417,059,329","439,967,317","453,800,582","438,627,878","440,785,705","395,924,484","377,425,444","381,652,702","354,961,943","382,062,014","396,117,015","400,095,148","415,316,299","439,922,214","445,556,188","419,575,571","450,004,806","406,716,328","392,554,108","381,762,105","326,574,857","365,872,112","383,328,693","408,102,893","417,657,920","438,690,431","457,722,797","443,142,272","445,124,188","416,376,872","411,508,247","Electric utility companies"
"Electricity Total KWH Sold- Street Lights","City and County of Honolulu","KWH","3,209,424","3,165,219","3,099,239","2,921,778","3,139,062","3,123,396","2,890,388","3,330,730","3,055,426","3,096,407","3,188,241","3,248,167","2,649,085","3,592,598","3,297,338","2,961,293","3,171,039","3,137,810","2,991,311","3,183,901","3,073,351","3,136,332","3,186,571","3,084,058","3,431,057","3,011,048","3,199,129","3,177,385","3,087,317","3,202,530","2,943,119","3,196,884","2,960,498","3,299,318","3,351,988","3,021,118","3,182,109","3,067,152","2,495,462","3,014,193","3,166,050","2,768,066","3,060,743","3,328,771","2,798,006","3,164,443","2,932,697","3,246,677","3,323,490","2,746,928","3,273,878","3,056,341","2,955,081","3,135,669","2,962,656","2,985,253","3,100,780","3,132,356","2,846,575","3,235,908","3,323,442","2,576,341","3,333,597","2,832,385","3,125,857","2,663,877","3,062,103","2,877,731","3,087,070","3,097,211","2,826,769","3,155,568","3,190,222","2,702,347","3,135,172","3,088,780","3,202,899","2,433,394","3,023,782","2,973,848","2,892,907","3,197,727","2,844,666","3,006,052","3,266,073","2,573,970","3,224,552","2,500,461","3,635,744","2,552,902","2,903,367","2,882,497","3,037,140","3,213,295","2,856,789","3,137,656","3,004,038","2,841,128","3,231,496","3,034,811","2,863,041","2,703,481","3,258,199","2,731,931","3,102,320","3,017,214","2,984,861","3,121,388","2,956,703","2,792,309","3,132,874","2,858,856","2,980,153","2,904,014","2,912,667","2,928,160","2,980,981","2,897,375","2,891,662","3,386,660","2,814,471","2,803,884","3,221,619","2,773,902","2,837,751","2,502,841","2,870,964","2,880,498","2,641,658","2,912,430","2,902,219","2,789,799","2,791,099","2,553,029","3,023,167","2,674,663","2,900,388","2,565,591","2,807,162","2,929,399","2,640,732","2,895,625","2,676,581","2,924,834","3,018,320","2,390,199","3,027,540","2,708,272","2,996,657","2,500,016","2,792,879","2,794,425","2,654,675","2,874,734","2,636,424","2,874,681","2,916,227","2,366,728","2,958,665","2,466,400","2,892,043","2,611,592","2,571,462","2,603,783","2,675,549","2,893,944","2,585,091","2,724,752","Electric utility companies"
"Electricity Retail Price- All Sectors","City and County of Honolulu","Cents/KWH","17.46","17.88","17.31","18.01","17.65","18.46","18.43","18.43","18.32","17.14","16.80","16.24","15.76","16.28","15.54","16.15","16.61","17.63","18.26","19.04","17.32","19.96","20.60","22.24","21.57","23.02","23.65","23.48","24.42","26.55","27.72","29.12","29.99","28.91","26.56","23.37","19.98","17.84","16.13","16.23","16.29","16.60","17.38","19.78","20.68","21.22","20.70","20.85","20.74","21.68","23.18","21.81","22.87","22.84","22.76","23.12","22.77","22.96","23.18","23.17","24.36","25.08","25.90","26.86","28.06","30.41","30.33","31.64","32.66","31.55","30.93","30.45","30.31","31.54","31.85","32.26","32.71","34.20","32.84","31.72","32.02","31.15","30.98","29.80","32.69","30.94","31.41","30.33","30.58","30.68","30.21","30.64","29.73","30.87","31.38","30.97","31.84","31.24","32.92","31.65","31.97","32.44","32.02","31.52","31.99","31.03","29.43","29.55","27.98","24.79","25.12","24.27","23.69","24.51","24.66","25.06","24.07","23.29","21.56","22.16","22.01","21.07","21.53","20.64","21.11","21.93","22.32","22.16","22.55","22.48","23.28","22.87","23.22","24.10","23.80","24.14","23.71","24.62","24.12","24.08","24.08","24.17","25.40","26.44","26.17","26.36","27.48","26.83","26.99","26.78","27.98","27.72","27.08","26.84","28.63","29.58","28.13","27.83","28.57","28.54","28.20","27.37","26.81","26.63","26.65","26.32","25.90","26.24","Electric utility companies"
