"Indicator","Area","Units","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","Source"
"Electricity Retail Price- Residential","City and County of Honolulu","Cents/KWH","19.74","20.10","19.60","20.31","20.09","20.87","20.85","20.91","20.79","19.61","19.16","18.67","18.20","18.60","17.94","18.59","19.24","20.09","20.76","21.53","19.56","22.71","23.27","25.20","24.34","25.79","26.38","26.62","27.61","29.69","30.92","32.29","33.59","32.15","29.85","26.97","22.71","20.61","18.56","19.02","19.11","19.55","20.10","22.67","23.73","24.06","23.67","23.75","23.50","24.33","25.97","24.62","25.83","25.79","25.66","26.07","25.64","25.90","26.14","26.08","27.07","28.02","29.01","29.78","31.04","33.38","33.35","34.68","36.03","34.60","33.90","33.63","33.26","34.82","34.95","35.47","35.88","38.03","36.26","35.49","35.37","34.59","34.40","32.91","35.66","34.19","34.95","34.01","34.59","34.88","34.53","34.76","33.80","34.64","34.88","34.53","35.22","34.68","36.94","36.57","36.31","36.95","36.69","35.65","36.21","34.55","32.92","33.24","31.41","28.76","29.42","29.09","28.41","29.04","28.47","28.60","27.18","26.60","24.97","25.28","25.37","25.50","26.44","25.54","25.67","25.99","26.75","25.72","26.30","26.31","27.07","26.07","26.39","27.93","27.88","29.28","27.77","29.23","28.19","28.04","27.98","27.82","28.71","29.57","29.54","30.05","31.21","30.73","30.99","31.29","32.23","31.36","30.39","30.50","32.13","35.54","30.97","32.54","33.86","34.35","32.88","31.41","30.42","30.32","30.12","29.57","29.16","29.47","Electric utility companies"
"Electricity Retail Price- Commercial","City and County of Honolulu","Cents/KWH","16.54","17.04","16.41","17.10","16.74","17.54","17.49","17.47","17.38","16.18","15.88","15.28","14.77","15.40","14.62","15.19","15.63","16.66","17.28","18.05","16.45","18.92","19.58","21.06","20.43","21.97","22.62","22.32","23.23","25.38","26.49","27.94","28.66","27.76","25.37","21.99","18.87","16.81","15.22","15.19","15.25","15.46","16.35","18.67","19.53","20.13","19.55","19.74","19.62","20.69","22.12","20.76","21.78","21.75","21.66","22.03","21.70","21.87","22.07","22.04","23.25","24.06","24.77","25.81","26.96","29.28","29.22","30.52","31.45","30.46","29.88","29.27","29.17","30.43","30.73","31.14","31.64","32.88","31.65","30.45","30.90","29.98","29.82","28.71","31.61","29.88","30.27","29.12","29.30","29.34","28.86","29.33","28.43","29.67","30.25","29.78","30.70","30.12","31.66","30.20","30.64","31.06","30.59","30.20","30.68","29.87","28.30","28.37","26.80","23.57","23.84","22.88","22.34","23.13","23.40","23.86","22.93","22.23","20.44","21.11","20.87","19.76","20.11","19.20","19.78","20.67","20.93","20.97","21.33","21.25","22.07","21.76","22.14","22.91","22.54","22.65","22.44","23.20","22.78","22.78","22.80","22.97","24.30","25.38","24.99","25.18","26.26","25.59","25.76","25.38","26.59","26.45","25.88","25.62","27.45","27.66","27.12","26.42","27.01","26.89","26.75","26.00","25.51","25.32","25.40","25.17","24.77","25.09","Electric utility companies"
"Electricity Retail Price- Street Lights","City and County of Honolulu","Cents/KWH","17.96","17.75","18.37","18.40","18.24","19.08","19.10","19.11","18.90","17.83","17.21","16.80","15.92","16.76","16.04","16.52","17.10","18.14","18.75","19.54","17.68","20.56","21.08","22.12","22.15","23.59","24.13","23.72","24.96","26.96","28.32","29.77","31.76","29.37","26.98","23.05","20.22","17.82","13.00","16.31","16.62","17.22","18.11","20.48","22.07","22.13","21.67","21.58","21.52","22.35","23.83","22.71","23.85","23.89","23.79","24.26","23.75","23.92","24.15","23.97","25.12","25.84","26.66","28.15","29.32","32.12","31.59","32.93","34.43","32.97","32.01","31.57","31.47","32.52","32.78","32.95","33.32","36.30","34.15","33.29","33.41","32.41","32.25","30.90","33.11","31.22","31.74","31.58","31.38","32.01","31.84","32.31","31.08","32.18","32.63","32.28","32.52","32.05","33.15","32.18","33.40","33.64","33.01","33.26","33.27","32.58","30.65","30.36","28.65","25.34","25.34","24.79","24.15","25.35","25.91","26.68","25.84","24.85","22.97","23.75","23.09","21.36","21.34","21.07","21.80","23.04","23.74","23.68","24.34","23.95","24.33","24.02","23.73","24.49","24.19","24.82","24.53","25.72","25.51","25.28","25.72","25.59","26.51","27.10","26.35","26.54","27.82","27.34","27.70","27.54","29.26","29.45","28.75","28.52","30.02","26.55","28.84","27.84","28.44","28.68","28.90","28.16","28.32","28.59","28.97","28.42","27.40","28.01","Electric utility companies"
"Electricity Sent to System by Electric Utility Companies","City and County of Honolulu","KWH","660,429,628","579,073,694","662,839,486","631,140,513","662,422,334","683,431,078","713,944,747","734,462,865","701,671,368","707,769,773","689,375,523","678,310,587","665,549,001","582,254,198","660,905,183","639,084,722","683,836,783","678,029,552","711,223,745","726,052,364","697,215,160","709,879,902","666,617,960","668,466,343","636,962,362","608,171,137","663,107,883","639,141,550","676,342,267","666,668,354","705,960,259","705,676,713","675,690,898","687,727,748","641,215,034","643,984,476","619,271,378","546,568,445","608,263,121","596,864,892","658,041,967","663,911,909","691,502,928","703,023,773","678,384,514","708,963,161","641,066,396","645,734,738","634,123,780","555,794,463","617,382,974","608,082,347","649,621,989","642,518,053","664,188,310","679,175,913","654,942,597","668,765,742","634,122,281","648,300,041","627,359,459","589,489,940","641,768,263","629,587,645","643,863,810","621,923,168","649,443,046","664,120,579","643,217,659","654,581,842","612,124,698","616,332,653","617,656,693","567,358,472","593,917,641","579,357,724","612,817,752","602,289,974","623,929,139","649,228,230","607,528,538","645,678,095","597,060,971","614,172,005","586,193,209","515,099,011","569,347,456","582,621,692","609,572,388","591,733,523","635,464,971","641,201,780","618,142,112","637,435,497","591,331,362","609,186,211","570,935,892","539,227,675","564,451,576","553,995,263","596,398,722","580,078,678","626,412,944","638,094,951","638,098,290","644,630,917","576,039,356","573,515,145","550,014,041","506,011,777","545,750,619","555,977,223","561,464,740","576,277,254","641,760,692","673,484,560","643,242,805","630,876,444","606,041,665","595,239,167","562,874,393","517,551,015","549,407,435","551,474,449","581,188,167","570,553,230","621,840,627","642,760,784","612,614,200","607,774,365","567,592,862","577,426,298","544,073,112","490,714,121","564,647,362","549,625,000","571,691,179","581,164,718","613,532,425","631,159,467","608,146,022","609,700,162","552,989,640","537,245,431","545,038,232","491,507,327","530,465,540","539,679,072","562,540,331","565,837,496","613,172,716","622,260,101","604,410,564","613,520,415","568,992,750","550,360,573","530,538,471","447,081,875","500,043,421","516,009,564","563,594,932","582,656,143","619,117,415","652,113,597","630,577,346","625,811,866","583,228,290","583,049,200","Electric utility companies"
"Electricity  Generated at the Utility Stations","City and County of Honolulu","KWH","459,087,320","363,069,160","396,283,480","435,928,580","411,776,002","438,279,969","450,591,190","482,157,494","447,781,818","443,676,014","423,216,637","407,086,502","404,094,508","365,493,522","463,047,541","375,362,517","413,710,055","423,140,241","460,841,405","472,449,094","459,056,027","488,862,080","411,066,081","415,977,414","391,724,824","422,736,526","426,583,290","379,263,011","413,945,230","416,536,728","448,076,478","445,333,420","429,639,254","450,624,851","375,793,993","375,113,728","369,917,614","353,673,896","381,685,672","334,430,944","431,665,958","408,883,297","444,011,370","432,794,128","418,570,655","443,630,823","379,945,246","380,036,679","372,509,638","392,784,688","432,105,154","364,089,620","400,105,745","379,764,948","407,202,444","401,894,372","390,847,592","406,583,195","393,131,792","378,749,144","365,434,971","374,371,706","427,799,371","383,136,262","390,668,824","370,442,503","389,509,681","403,197,058","406,877,956","391,192,663","377,354,707","418,900,742","379,695,010","352,920,289","398,611,836","359,378,999","345,196,135","354,765,650","369,127,644","394,830,388","362,791,716","387,846,417","341,894,353","352,227,045","418,677,703","324,138,929","360,892,612","329,446,857","335,631,819","331,629,309","349,159,079","350,256,939","333,641,849","365,455,674","332,214,578","338,594,109","348,943,807","330,953,678","306,113,081","283,203,730","326,745,472","315,464,097","326,641,775","345,517,601","407,989,488","352,316,051","291,889,191","334,225,620","339,461,115","257,429,571","281,421,572","339,345,420","327,065,847","332,332,581","356,420,989","386,062,249","360,458,175","347,870,126","328,664,077","320,361,846","317,290,558","322,746,144","274,414,887","280,336,054","310,167,375","300,975,159","326,961,337","343,179,263","325,570,830","314,311,623","289,237,145","308,749,158","336,182,444","275,216,600","341,343,564","279,074,381","285,957,488","301,954,594","303,764,146","317,249,372","313,705,251","338,733,086","290,341,511","293,427,358","315,169,880","304,359,465","265,393,836","291,807,846","341,364,717","294,328,491","321,032,769","320,409,620","340,126,840","352,147,240","318,221,148","278,523,442","339,421,950","253,335,736","253,331,568","240,320,195","292,842,552","331,726,342","332,896,861","365,141,039","348,803,388","348,133,091","302,015,060","318,179,189","Electric utility companies"
"Electricity Generated at the Utility Stations - by Steam","City and County of Honolulu","KWH","453,321,600","362,097,400","395,524,400","435,002,700","410,460,600","435,782,200","449,055,100","478,803,100","446,808,600","441,668,700","422,124,800","406,293,300","402,968,800","363,605,300","461,675,600","374,642,000","412,067,300","419,557,700","455,951,100","470,709,000","457,319,100","486,739,700","409,235,800","415,427,800","391,399,400","421,376,500","424,807,800","378,249,500","413,231,100","415,717,800","442,980,600","440,733,400","426,044,800","447,309,600","374,299,600","372,932,600","369,369,700","353,096,700","380,788,400","334,061,100","430,479,000","407,635,600","441,629,500","426,179,100","405,039,000","435,357,000","373,123,100","372,292,700","371,468,000","389,151,500","427,988,100","362,574,900","399,379,000","378,562,800","406,620,200","399,879,700","386,127,400","405,046,200","392,791,100","375,655,200","361,830,300","373,325,200","422,694,200","381,244,800","388,968,600","364,970,900","386,404,000","396,455,000","401,220,300","390,181,800","376,016,400","417,281,500","376,524,800","352,432,900","396,119,800","358,451,200","342,909,700","347,434,500","366,557,100","393,618,200","356,703,900","386,798,300","340,013,500","350,767,000","411,998,400","322,293,500","359,250,800","327,861,000","331,124,800","330,774,300","347,971,800","347,416,400","328,203,700","361,206,500","328,962,200","334,692,400","345,563,700","328,332,600","305,714,300","281,688,000","320,610,000","313,268,500","319,523,700","342,972,600","403,817,600","344,438,100","287,130,400","322,691,700","329,726,700","251,499,200","277,719,900","337,167,800","323,200,700","331,470,000","348,720,800","370,032,200","351,770,800","341,241,200","324,263,000","316,705,700","311,928,100","316,664,500","272,431,000","278,334,900","303,925,300","297,135,300","324,341,005","334,137,800","320,507,500","310,320,900","283,443,700","306,785,200","334,807,600","266,906,200","329,343,700","267,909,700","275,496,600","292,229,600","297,417,300","306,613,100","301,755,000","333,778,100","286,241,500","285,816,800","305,241,000","297,591,800","260,830,600","280,412,500","332,961,800","291,121,900","314,027,100","313,170,900","331,921,500","340,820,300","303,166,700","269,668,800","327,090,540","243,853,920","243,272,300","224,425,450","271,248,900","314,524,670","319,974,600","346,921,760","332,544,590","330,440,421","286,902,661","306,378,339","Electric utility companies"
"Electricity Generated at the Utility Stations - by Diesel","City and County of Honolulu","KWH","5,765,720","971,760","759,080","925,880","1,315,402","2,497,769","1,536,090","3,354,394","973,218","2,007,314","1,091,837","793,202","1,125,708","1,888,222","1,371,941","720,517","1,642,755","3,582,541","4,890,305","1,740,094","1,736,927","2,122,380","1,830,281","549,614","325,424","1,360,026","1,775,490","1,013,511","714,130","818,928","5,095,878","4,600,020","3,594,454","3,315,251","1,494,393","2,181,128","547,914","577,196","897,272","369,844","1,186,958","1,247,697","2,381,870","6,615,028","13,531,655","8,273,823","6,822,146","7,743,979","1,041,638","3,633,188","4,117,054","1,514,720","726,745","1,202,148","582,244","2,014,672","4,720,192","1,477,263","340,527","696,210","605,559","323,727","699,656","473,750","494,112","2,325,625","991,438","2,425,159","175,793","332,342","44,876","331,676","1,872,466","75,228","325,679","349,676","234,085","443,598","576,113","389,987","71,173","253,732","525,770","158,011","1,700,415","275,846","484,546","172,323","632,169","31,184","108,963","468,579","223,888","527,039","129,490","309,094","130,371","356,769","201,559","264,939","225,301","128,038","686,451","1,969,975","4,171,888","828,687","1,018,200","3,861,661","4,135,790","1,941,879","1,312,202","166,701","28,751","26,836","844,128","2,525,368","1,591,614","1,581,049","1,181,207","854,696","232,263","1,048,318","640,203","865,692","958,328","766,702","882,816","2,299,566","1,380,760","1,583,119","920,767","253,654","177,453","1,464,778","5,011,640","6,893,348","5,491,888","4,399,570","2,081,580","4,322,050","5,443,439","1,282,309","1,523,085","1,517,177","1,713,026","2,997,984","1,142,257","2,840,465","1,035,541","891,133","1,035,864","2,127,031","3,132,725","6,157,810","9,611,813","4,956,245","6,391,916","2,641,331","5,259,384","10,963,248","16,438,216","13,579,985","8,726,704","12,486,689","11,251,766","13,156,195","10,766,304","7,187,607","Electric utility companies"
"Electricity Generated at the Utility Stations - by Biodiesel","City and County of Honolulu","KWH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,999,112","722,779","4,405,515","1,417,712","1,206,112","3,145,978","2,114,243","4,316,899","5,481,863","678,521","1,293,431","1,287,566","1,297,744","412,161","2,166,357","578,123","2,052,350","6,887,552","1,994,431","822,201","6,016,643","794,385","1,355,083","1,302,034","4,978,888","1,569,583","1,157,266","1,413,534","3,874,850","823,825","1,078,316","2,371,960","5,214,261","3,722,135","3,122,888","3,592,615","3,249,736","2,264,309","197,222","1,250,791","5,910,171","2,067,559","6,431,624","575,026","0","7,049,264","3,740,591","7,672,259","5,598,625","3,988,492","2,389,470","2,010,919","3,836,396","835,745","6,856,061","13,504,681","7,095,761","5,047,877","3,219,870","2,801,450","5,130,195","5,033,326","1,343,684","1,135,462","5,283,747","3,073,157","1,737,516","6,741,897","3,682,570","2,407,604","4,872,678","1,710,304","1,197,391","6,845,622","3,988,224","4,271,333","4,969,000","5,325,424","4,265,266","6,314,222","6,506,812","3,672,677","2,576,926","6,093,381","8,215,854","3,769,681","3,420,979","8,554,881","7,367,376","2,315,458","5,969,805","5,111,689","5,072,615","5,169,130","5,442,635","3,898,397","5,939,494","6,840,485","4,799,884","4,931,497","5,155,436","3,621,687","4,195,557","5,732,590","5,007,032","4,536,475","1,945,367","2,412,888","Electric utility companies"
"Electricity Generated at the Utility Stations - by Hydro & Wind","City and County of Honolulu","KWH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Electric utility companies"
"Electricity Purchased from Independent Power Plant","City and County of Honolulu","KWH","228,496,908","237,774,114","290,821,336","220,772,223","275,604,872","270,669,959","289,582,137","279,590,181","279,744,320","289,899,549","291,407,636","295,664,535","285,791,293","238,711,736","224,752,662","286,213,115","294,217,208","279,934,041","276,285,810","280,702,140","265,179,113","249,040,012","280,361,449","277,287,089","269,335,768","210,155,711","261,718,023","282,794,609","286,952,927","274,482,896","283,800,131","286,259,603","270,762,064","262,745,897","286,923,951","290,314,348","271,597,464","213,960,509","248,181,309","282,334,108","251,814,449","278,937,752","273,192,769","296,136,591","284,742,061","291,490,697","284,531,484","289,764,325","285,393,840","186,480,836","211,164,861","267,593,247","273,641,320","286,312,513","282,274,415","302,137,374","288,545,666","287,725,037","265,866,436","293,407,116","285,489,028","237,822,795","240,333,072","270,424,800","277,522,171","275,109,087","284,841,245","286,024,351","260,697,918","287,722,181","258,451,235","223,010,472","262,016,734","236,532,055","219,837,433","242,181,553","290,549,392","270,346,332","278,371,062","279,029,444","267,690,865","281,986,239","276,901,185","284,686,379","192,140,499","211,628,245","231,466,908","274,602,900","295,504,550","281,666,674","308,823,084","312,047,990","304,347,220","295,041,513","280,575,608","292,661,094","244,461,255","228,718,476","277,943,923","289,543,833","290,196,806","284,818,660","320,591,471","314,752,187","254,023,392","313,083,087","301,818,552","259,269,229","231,016,062","264,776,503","282,548,950","237,478,358","254,831,168","264,462,501","306,320,476","309,415,927","304,779,016","304,170,154","297,205,577","295,064,659","265,040,191","214,400,317","293,024,080","287,900,087","289,756,666","288,412,025","315,235,212","320,518,340","306,787,049","312,818,511","296,286,226","288,167,285","228,583,734","233,002,470","243,424,808","287,264,006","303,514,776","297,277,613","328,002,243","332,825,789","312,922,592","292,338,324","281,236,604","263,002,991","249,166,887","206,105,042","282,995,314","266,142,029","242,558,382","290,938,114","313,211,221","323,104,035","285,450,785","282,561,660","270,360,820","290,987,369","212,889,090","210,890,212","263,247,643","290,849,064","287,352,102","269,666,011","306,211,590","306,790,426","304,576,902","300,363,861","301,498,060","285,711,504","Electric utility companies"
"Electricity Used by Stations","City and County of Honolulu","KWH","27,154,600","21,769,580","24,265,330","25,560,290","24,958,540","25,518,850","26,228,580","27,284,810","25,855,770","25,805,790","25,248,750","24,440,450","24,336,800","21,951,060","26,895,020","22,490,910","24,090,480","25,044,730","25,903,470","27,098,870","27,019,980","28,022,190","24,809,570","24,798,160","24,098,230","24,721,100","25,193,430","22,916,070","24,555,890","24,351,270","25,916,350","25,916,310","24,710,420","25,643,000","21,502,910","21,443,600","22,243,700","21,065,960","21,603,860","19,900,160","25,438,440","23,909,140","25,701,211","25,906,946","24,928,202","26,158,359","23,410,334","24,066,266","23,779,698","23,471,061","25,887,041","23,600,520","24,125,076","23,559,408","25,288,549","24,855,833","24,450,661","25,542,490","24,875,947","23,856,219","23,564,540","22,704,561","26,364,180","23,973,417","24,327,185","23,628,422","24,907,880","25,100,830","24,358,215","24,333,002","23,681,244","25,578,561","24,055,051","22,093,872","24,531,628","22,202,828","22,927,775","22,822,008","23,569,567","24,631,602","22,954,043","24,154,561","21,734,567","22,741,419","24,624,993","20,668,163","23,012,064","21,428,065","21,563,981","21,562,460","22,517,192","21,103,149","19,846,957","23,061,690","21,458,824","22,068,992","22,469,170","20,444,479","19,655,428","18,752,300","20,543,556","20,204,079","20,820,302","22,174,837","23,914,590","20,768,221","17,668,387","19,979,704","20,463,136","16,194,297","18,219,903","20,846,555","20,432,275","20,517,828","20,980,773","21,993,616","21,994,386","21,163,836","19,827,989","20,187,338","19,456,355","19,595,446","18,031,532","16,761,692","18,735,874","18,833,954","20,355,922","20,937,119","19,743,679","19,355,769","17,930,509","19,490,145","20,693,066","17,504,949","20,121,010","16,713,387","17,781,085","18,067,489","18,233,964","18,915,694","18,481,821","21,371,248","18,588,475","19,184,918","19,298,535","18,957,180","17,923,610","18,270,803","21,382,768","19,429,109","21,071,274","21,253,554","21,167,061","21,188,485","19,589,218","19,150,238","21,772,569","17,144,073","16,535,790","15,159,695","16,599,722","18,736,210","19,991,036","19,817,868","22,802,944","22,685,086","20,284,830","20,841,493","Electric utility companies"

 Compiled by Research & Economic Analysis Division State of Hawaii Department of Business Economic Development and Tourism. For more information please visit: http://dbedt.hawaii.gov/economic